2026-06-03 21:43:19 | 1 | 홍차 | 2000 | CardPayment
2026-06-03 21:43:56 | 2 | 녹차 | 2000 | CashPayment
2026-06-07 15:32:18 | 1 | 초콜릿 쿠키 | 1500 | CardPayment
2026-06-07 15:32:38 | 2 | 딸기 스무디 | 4500 | CashPayment
2026-06-07 15:46:54 | 3 | 초콜릿 쿠키 | 1500 | CardPayment
2026-06-07 15:47:03 | 4 | 초콜릿 쿠키 | 1500 | CardPayment
2026-06-07 15:47:18 | 5 | 초콜릿 쿠키 | 1500 | CardPayment
2026-06-07 15:48:34 | 6 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:48:58 | 7 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:49:11 | 8 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:50:12 | 9 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:50:37 | 10 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:50:56 | 11 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:53:23 | 12 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:53:29 | 13 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:53:56 | 1 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 15:54:04 | 2 | 딸기 스무디 | 4500 | CardPayment
2026-06-07 16:02:36 | 1 | 딸기 스무디 | 4500 | CardPayment
